name,artist,album,albumType,id,explict
No One Dies From Love,Tove Lo,Dirt Femme,album,51DXwluqCo7bx4QAFuGoEm,False
Chlorine,Twenty One Pilots,Trench,album,23OXdR7YuUBVWh5hSnYJau,False
Praying,Kesha,Rainbow,album,0jdny0dhgjUwoIp5GkqEaA,False
Rolling in the Deep,Adele,21,album,1c8gk2PeTE04A1pIDH9YMk,False
Dancing With Our Hands Tied,Taylor Swift,reputation,album,7I7JbDv63ZJJsSi24DyJrz,False
Hold My Hand,Lady Gaga,Top Gun: Maverick (Music From The Motion Picture),album,1c2hJSwcCfoPEw1su83Sw0,False
Blinding Lights,The Weeknd,After Hours,album,0VjIjW4GlUZAMYd2vXMi3b,False
In Your Eyes,The Weeknd,After Hours,album,7szuecWAPwGoV1e5vGu8tl,True
Save Your Tears,The Weeknd,After Hours,album,5QO79kh1waicV47BqGRL3g,True
Hardest To Love,The Weeknd,After Hours,album,6kWxIqQDsKFYCJGbU4AjCX,True
"promise, (From the Original Netflix Series ""Home For Christmas"")",Fay Wildhagen,"promise, (From the Original Netflix Series ""Home For Christmas"")",single,0IZXC3mHpIdPZMZratBAfr,False
yes & no (Instrumental),XYLØ,The Instrumentals,album,3hUdhrUlesmC9QgauiGC0L,False
9th of october,Tove Lo,BLUE LIPS (lady wood phase II),album,3hxI5beUAhC7wZ96zXOxej,True
Fix You,Coldplay,X&Y,album,7LVHVU3tWfcxj5aiPFEW4Q,False
1994,Alec Benjamin,Narrated For You,album,5Ys68FZdQFcFw7IgkANVoM,False
Sabotage,Bebe Rexha,Better Mistakes,album,1nil655gJpCzrbqiqC0NLX,True
Bloodstream,The Chainsmokers,Memories...Do Not Open,album,26AuyrZGzWWiYZPSd3XBIg,True
Bandito,Twenty One Pilots,Trench,album,5INKIG4QNuD4xq7qZcfPzp,False
This Is Why We Can't Have Nice Things,Taylor Swift,reputation,album,07NxDD1iKCHbAldceD7QLP,False
Sign of the Times,Harry Styles,Harry Styles,album,5Ohxk2dO5COHF1krpoPigN,False
If the World Was Ending (feat. Julia Michaels),JP Saxe,Hold It Together (Deluxe),album,4bp5G6x1SXMQW4X9DbCCCp,False
chance,Hayley Kiyoko,PANORAMA,album,74jOmqVRM9Ha4xu8G15iKv,False
Falling,Harry Styles,Fine Line,album,1ZMiCix7XSAbfAJlEZWMCp,False
As It Was,Harry Styles,Harry's House,album,4Dvkj6JhhA12EX05fT7y2e,False
Not the End of the World,Katy Perry,Smile,album,2F20djOXWDSFEXu3tPdV71,False
Karma,MARINA,Love + Fear,album,7b76ZM3xf6EjaIfsbfhJkZ,False
Delicate,Taylor Swift,reputation,album,6NFyWDv5CjfwuzoCkw47Xf,False
Good In Goodbye,Madison Beer,Life Support,album,4y3g40TWe7fCWCayJZuGvw,True
I Did Something Bad,Taylor Swift,reputation,album,4svZDCRz4cJoneBpjpx8DJ,False
Footprints,Sia,This Is Acting (Deluxe Version),album,7LNAzNyUgpZklrVCVwg70i,False
House On Fire,Sia,This Is Acting (Deluxe Version),album,2dMmMkZ7SEqFbzTJx4DijY,False
Broken Glass,Sia,This Is Acting (Deluxe Version),album,22iKiimk9wEJWdHlKdtFsA,False
Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),album,0TDLuuLlV54CkRRUOahJb4,False
Helium,Sia,Fifty Shades Darker (Original Motion Picture Soundtrack),compilation,4S6fv0puLCsfYjyBTPDb9k,False
Enquanto Me Beija,Jão,ANTI-HERÓI,album,0EsftWIxQKCoCz5HZtlpkW,False
Habits (Stay High),Tove Lo,Queen Of The Clouds,album,18AJRdgUoO9EYn11N7xzaT,False
Trust Fall,Bebe Rexha,Better Mistakes,album,6jm6543STio3hL0bHV2xZ8,False
Don’t Blame Me,Taylor Swift,reputation,album,1R0a2iXumgCiFb7HEZ7gUE,False
Red Lights,Tiësto,A Town Called Paradise,album,5L2l7mI8J1USMzhsmdjat9,False
Pretty Hurts,Beyoncé,BEYONCÉ [Platinum Edition],album,7lUA4P03AhwAw40JHkdyGr,False
Just A Little Bit Of Your Heart,Ariana Grande,My Everything (Deluxe),album,5lvnGiTAH9BVlJLHc0DXZz,False
I Got Time,Bebe Rexha,All Your Fault: Pt. 2,single,2CBtDxdTSz3MP8yUnA4Xkh,True
Sleepover,Hayley Kiyoko,Expectations,album,0WqqFajBwA3tpRZ66kRomu,False
EveryTime I Cry,Ava Max,EveryTime I Cry,single,0mV43B6pJWRjcM5TmzNe6d,False
Postcard (feat. Gordi),Troye Sivan,Bloom,album,4CCe846xVRd9p31gc6dMza,True
True Colors,Zedd,True Colors,album,2KTsF6TFius01SCYmnIkJG,False
Last Hurrah,Bebe Rexha,Last Hurrah,single,0i0wnv9UoFdZ5MfuFGQzMy,False
One Last Night On Earth,Dada Life,One Last Night On Earth,single,4ToVNJYbWJsZO1p7hDYAbt,False
Under The Influence,Chris Brown,Indigo (Extended),album,5IgjP7X4th6nMNDh4akUHb,True
Let Me Down Slowly,Alec Benjamin,Narrated For You,album,2qxmye6gAegTMjLKEBoR3d,False
Unstoppable,Sia,This Is Acting (Deluxe Version),album,1yvMUkIOTeUNtNWlWRgANS,False
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,album,1PtQJZVZIdWIYdARpZRDFO,False
BFF (feat. Wrabel),Kesha,High Road,album,4JV4Ca0kojkuWpx8NEsBKZ,True
STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3+: OVER YOU,album,567e29TDzLwZwfDuEpGTwo,True
Bored,Billie Eilish,Bored,single,04sN26COy28wTXYj3dMoiZ,False
Daddy Issues,The Neighbourhood,Wiped Out!,album,5E30LdtzQTGqRvNd7l6kG5,False
happier,Olivia Rodrigo,SOUR,album,2tGvwE8GcFKwNdAXMnlbfl,True
Lunchbox Friends,Melanie Martinez,K-12,album,6viCrMdt8zgjOygIuJMC5X,True
Train Wreck,James Arthur,Back from the Edge,album,55Am8neGJkdj2ADaM3aw5H,False
Into Your Arms (feat. Ava Max),Witt Lowry,Into Your Arms (feat. Ava Max),single,0b11D9D0hMOYCIMN3OKreM,True
deja vu,Olivia Rodrigo,SOUR,album,6HU7h9RYOaPRFeh0R3UeAr,True
What Other People Say,Sam Fischer,"I Love You, Please Don't Hate Me",album,4D5xkARyjOvcHb3Z2r4Whe,True
Met Him Last Night (feat. Ariana Grande),Demi Lovato,Dancing With The Devil…The Art of Starting Over,album,0BI0hfbmqybnd3TezrDME3,True
"Bella's Lullaby (From ""Twilight"")",Carter Burwell,Inception,album,0w5ymU3obTE6hVDfMHJDDL,False
Gold,Kiiara,lil kiiwi,album,7yNX3ZFBWZoR52pbeU4Mcl,False
Home,Gabrielle Aplin,English Rain,album,0OwoAzOM3ULaLoiYpC5axn,False
Boys Will Be Boys,Dua Lipa,Future Nostalgia,album,0vQcyuMEfRBd21ojZ62N2L,False
Don't Start Now,Dua Lipa,Future Nostalgia,album,3PfIrDoz19wz7qK7tYeu62,False
People You Know,Selena Gomez,Rare,album,63mdJr3NMY3wReOkNE6c6W,False
Vulnerable,Selena Gomez,Rare,album,11OwAR3GlBj9E35Cznf7Lj,False
Telephone - Alphabeat Remix Edit,Lady Gaga,Telephone (International Version),single,1NThlphpUVKoNrTNR339wA,False
Touch,Troye Sivan,TRXYE,single,0eRzcqXn5dLNa5zOXZySMw,False
Lose You To Love Me,Selena Gomez,Rare,album,4l0Mvzj72xxOpRrp6h8nHi,False
Girls Just Wanna Have Some,Chromatics,Girls Just Wanna Have Fun,album,1WM80A5a4xDtlndjqjZQIv,False
bad days,Tove Lo,BLUE LIPS (lady wood phase II),album,4eTUG3TF3lQuar1lLkN0cG,False
cycles,Tove Lo,BLUE LIPS (lady wood phase II),album,5rUETOajWWAqpjamjDD4cT,False
Gangorra,Haikaiss,Aquário,album,5FQDSCTebJuMB8zbTljBJH,False
Jura Juradinho,Carol & Vitoria,Gato Preto,album,0NL3GrKlW4mF8USljfG7p5,False
Grigio Girls,Lady Gaga,Joanne (Deluxe),album,6Xxvdy1m9TX9HTxOzQcfuV,True
ilomilo,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,7qEKqBCD2vE5vIBsrUitpD,False
Joanne,Lady Gaga,Joanne (Deluxe),album,2kecdnlyueotEMC8rdNlf6,False
Angel Down,Lady Gaga,Joanne (Deluxe),album,5O31BTWa4XNFtE3zVgeCoh,False
Gypsy,Lady Gaga,ARTPOP,album,2BnfMbmWbfqi7ac5y7GHXn,False
Crazy for You,Madonna,Celebration (double disc version),compilation,6B4oVElDIKRNcNUary0WG7,False
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),album,2rbDhOo9Fh61Bbu23T2qCk,False
Shallow,Lady Gaga,A Star Is Born Soundtrack,album,2VxeLyX666F8uXCJ0dZF8B,False
Paparazzi,Lady Gaga,The Fame,album,02XnQdf7sipaKBBHixz3Zp,True
365,Zedd,365,single,2XWjPtKdi5sucFYtVav07d,False
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",album,4kV4N9D1iKVxx1KLvtTpjS,True
Waves,Dean Lewis,A Place We Knew,album,6w8pFOKn42O418qwcQElZ3,False
